"성분AS","성분C","성분B","성분CA","성분CU","성분CR","성분MO","성분MN","성분N","성분P","성분S","성분TOTALAL","성분SOLAL","재료번호","성분V"
0.004,0.0374,0,0,0.015,0.02,0,0.186,29,0.0056,0.0032,0.04,0.037,"HQF140640",0
0.008,0.0393,0,0,0.007,0.01,0,0.191,19,0.0095,0.0027,0.023,0.022,"HQB025030",0
0.006,0.0016,0,0,0.015,0.02,0,0.092,16,0.0091,0.0034,0.026,0.024,"HQZ038500",0.001
0.004,0.0387,11,0,0.014,0.01,0,0.19,19,0.0064,0.0037,0.021,0.019,"HQF097530",0
0.006,0.0015,0,0,0.013,0.05,0.01,0.143,12,0.0505,0.0035,0.03,0.028,"HQZ104640",0
0.006,0.0802,2,0,0.011,0.02,0,0.911,37,0.0194,0.0028,0.029,0.025,"HQC145180",0.001
0.006,0.0326,0,0,0.01,0.01,0,0.271,18,0.0188,0.0035,0.027,0.026,"HQB034920",0
0.004,0.0347,0,0,0.02,0.03,0,0.185,13,0.0117,0.0034,0.018,0.016,"HQG005020",0
0.006,0.0342,0,0,0.008,0.04,0.01,0.196,20,0.0117,0.003,0.021,0.02,"HQB050240",0
0.006,0.0432,0,0,0.011,0.02,0,0.225,17,0.0069,0.0033,0.022,0.02,"HQC108640",0
0.006,0.0201,0,0,0.01,0.02,0,0.188,18,0.0091,0.0037,0.023,0.021,"HQZ082570",0
0.006,0.0424,13,0,0.021,0.02,0,0.194,18,0.0078,0.003,0.024,0.023,"HQA068460",0
0.005,0.0491,0,0,0.015,0.02,0,0.314,23,0.0098,0.0037,0.028,0.027,"HQZ064370",0
0.005,0.0018,0,0,0.012,0.02,0,0.145,19,0.0096,0.0032,0.026,0.025,"HQZ130700",0.001
0.006,0.0428,0,0,0.009,0.02,0,0.197,21,0.0094,0.0037,0.028,0.028,"HQC087710",0
0.006,0.0017,0,0,0.01,0.02,0,0.096,23,0.0088,0.0034,0.023,0.022,"HQY081880",0.001
0.004,0.1801,0,0,0.019,0.02,0,0.792,35,0.0074,0.0026,0.031,0.029,"HQJ109820",0.001
0.007,0.0015,0,3,0.008,0.02,0,0.094,23,0.0121,0.0029,0.03,0.029,"HQE024530",0.002
0.006,0.002,0,1,0.01,0.02,0,0.133,22,0.0096,0.0038,0.028,0.027,"HQY117940",0.002
0.006,0.0356,0,1,0.033,0.02,0,0.196,27,0.0078,0.004,0.027,0.025,"HQY027820",0
0.006,0.0373,0,0,0.018,0.02,0,0.208,15,0.0077,0.0037,0.03,0.029,"HQY089290",0
0.006,0.0614,0,0,0.012,0.01,0,0.349,29,0.0075,0.0029,0.031,0.029,"HQX150610",0
0.005,0.0019,0,1,0.022,0.05,0.02,0.137,19,0.0503,0.0041,0.032,0.029,"HQX065280",0
0.006,0.0333,0,0,0.013,0.02,0,0.177,27,0.0055,0.0027,0.026,0.024,"HQB134030",0
0.005,0.0023,0,0,0.01,0.01,0,0.091,18,0.0095,0.0027,0.034,0.033,"HQB038660",0.001
0.007,0.0356,0,0,0.009,0.01,0,0.179,18,0.0094,0.0037,0.026,0.025,"HQA137060",0
0.006,0.1953,0,0,0.008,0.02,0,0.477,29,0.0086,0.0027,0.035,0.034,"HQZ085210",0
0.005,0.0312,0,1,0.012,0.02,0,0.191,18,0.0067,0.0034,0.031,0.03,"HQZ054300",0
0.006,0.0019,1,0,0.012,0.03,0,0.071,15,0.0083,0.0035,0.028,0.027,"HQC094450",0.003
0.006,0.0349,0,1,0.024,0.02,0,0.208,22,0.0108,0.002,0.025,0.021,"HQC108020",0
0.006,0.0372,0,0,0.011,0.01,0,0.207,33,0.0092,0.0018,0.028,0.026,"HQB071440",0
0.005,0.0363,0,0,0.017,0.02,0,0.143,15,0.0093,0.0037,0.022,0.018,"HQF135630",0
0.007,0.0016,0,1,0.095,0.02,0,0.132,18,0.0184,0.01,0.036,0.034,"HQY125450",0
0.006,0.116,0,0,0.025,0.02,0,0.295,26,0.0095,0.0026,0.026,0.025,"HQC111160",0
0.005,0.0021,0,3,0.011,0.02,0,0.06,15,0.0064,0.0027,0.028,0.027,"HQA029590",0.002
0.006,0.0016,0,0,0.01,0.01,0,0.097,24,0.0094,0.0032,0.029,0.028,"HQE116540",0.001
0.006,0.0014,0,0,0.019,0.06,0.02,0.153,13,0.0544,0.0041,0.033,0.03,"HQY020320",0
0.006,0.0017,0,0,0.016,0.05,0.01,0.144,14,0.0498,0.0042,0.03,0.029,"HQZ104470",0
0.005,0.0021,0,0,0.013,0.02,0,0.066,15,0.0074,0.0037,0.018,0.017,"HQC031090",0.003
0.004,0.0709,0,0,0.027,0.02,0,0.254,77,0.0112,0.0026,0.028,0.026,"HQH157270",0
0.006,0.0431,0,0,0.02,0.02,0,0.202,25,0.0091,0.0035,0.021,0.016,"HQD003730",0
0.006,0.0377,0,0,0.018,0.02,0,0.201,16,0.0093,0.003,0.024,0.023,"HQA071110",0
0.005,0.0016,0,0,0.009,0.01,0,0.062,13,0.0052,0.0036,0.032,0.03,"HQF133290",0.003
