SLAB气,SLAB辨捞,SLAB吝樊,SLAB弥檬历厘困摹,楷林备盒,窜困郴鉴辑,乞闭TS,傈窜_沥沥LT,己盒AS,己盒C,己盒B,己盒CA,己盒CU,己盒CR,己盒MO,己盒MN,己盒N,己盒P,己盒S,己盒TOTALAL,己盒SOLAL,己盒V,沥沥_厘涝LT,傈历厘困摹内靛,惯瘤具靛器牢飘,胶墨俏咯何,前疙,岿备盒,沥沥_拘楷累诀瘤矫LT,厘涝柯档,HCR角利备盒
1380,11680,31.51,2GC,2楷林,19.0,251.0,0.0,0.004,0.0014,0,0,0.018,0.02,0.0,0.068,22.0,0.0079,0.004,0.028,0.026,0.002,10.8,3GB,4C,0,CR,3,2.2,421,0
1210,8420,19.92,2GA,2楷林,88.0,352.0,0.0,0.005,0.0442,0,0,0.018,0.02,0.0,0.242,21.0,0.01,0.0032,0.022,0.022,0.0,7.8,5GG,5A,0,PO,6,-2.8,562,0
990,7930,15.35,2GA,2楷林,64.0,334.0,0.0,0.004,0.0391,0,0,0.01,0.02,0.0,0.211,22.0,0.008,0.003,0.022,0.02,0.0,4.1,3GB,5A,0,FH,5,-9.2,695,0
980,9640,18.47,2GA,2楷林,36.0,422.0,0.0,0.004,0.0722,0,1,0.011,0.02,0.0,0.239,97.0,0.0081,0.0028,0.037,0.036,0.0,9.9,3GB,5A,0,BP,3,-2.9,397,0
1450,6800,19.28,3GC,2楷林,7.0,304.0,0.0,0.005,0.0018,0,0,0.032,0.06,0.02,0.149,11.0,0.0503,0.0045,0.031,0.029,0.0,9.5,3GB,4C,0,FH,3,0.3,454,0
1150,9660,21.37,2GA,2楷林,59.0,337.0,6.9,0.007,0.0411,0,0,0.016,0.02,0.0,0.199,35.0,0.0085,0.0034,0.033,0.032,0.0,2.8,3GB,5A,1,GI,10,-4.5,475,0
1420,9370,25.6,2GA,2楷林,3.0,281.0,7.6,0.005,0.0023,0,0,0.025,0.03,0.0,0.089,21.0,0.0108,0.0036,0.024,0.024,0.001,11.5,3GB,5A,1,FH,7,5.5,235,1
1290,8160,20.58,2GA,2楷林,7.0,461.0,0.0,0.005,0.0612,0,0,0.027,0.03,0.0,0.784,29.0,0.0138,0.0033,0.021,0.02,0.001,6.3,5GG,5A,0,PO,6,-1.8,722,0
1180,10650,24.57,2GC,2楷林,65.0,336.0,0.0,0.005,0.0377,0,0,0.021,0.02,0.0,0.197,22.0,0.0058,0.004,0.031,0.029,0.0,15.4,5GG,4C,0,HGI,11,3.2,265,1
1060,6740,13.97,2GC,2楷林,38.0,342.0,0.0,0.006,0.0469,0,0,0.016,0.02,0.0,0.283,28.0,0.0086,0.0042,0.03,0.029,0.0,7.9,5GG,4C,0,PO,12,2.3,566,0
1070,6280,13.14,2GA,2楷林,88.0,445.0,0.0,0.006,0.0582,0,0,0.012,0.01,0.0,0.808,22.0,0.0088,0.0033,0.039,0.034,0.0,9.5,5GG,5A,0,PO,6,-2.3,353,0
1390,11770,31.98,2GC,2楷林,33.0,271.0,0.0,0.005,0.0018,0,0,0.018,0.02,0.0,0.092,13.0,0.0097,0.0036,0.027,0.026,0.001,7.7,5GG,4C,0,CR,12,0.5,426,0
1090,6850,14.6,3GC,2楷林,86.0,303.0,0.0,0.005,0.0201,0,4,0.011,0.02,0.0,0.191,16.0,0.0076,0.0032,0.025,0.024,0.0,9.7,3GB,4C,0,CR,11,2.2,450,0
1030,9270,18.67,2GA,2楷林,39.0,319.0,0.0,0.006,0.0374,0,0,0.01,0.01,0.0,0.191,27.0,0.007,0.0027,0.022,0.02,0.0,10.3,3GB,5A,0,HR,10,6.7,524,0
1540,11590,34.89,2GD,2楷林,11.0,527.0,0.0,0.007,0.0752,4,1,0.031,0.02,0.0,0.882,41.0,0.0193,0.0025,0.032,0.032,0.002,19.2,5GG,4C,0,GI,1,4.0,274,1
1300,9910,25.19,2GC,2楷林,38.0,334.0,0.0,0.005,0.0375,0,4,0.01,0.01,0.0,0.188,23.0,0.0083,0.0029,0.023,0.021,0.0,7.4,5GG,4C,0,HR,1,-0.5,588,0
1260,8120,20.0,3GC,2楷林,16.0,337.0,0.0,0.005,0.0391,0,0,0.01,0.02,0.0,0.189,24.0,0.009,0.0024,0.026,0.026,0.0,3.8,3GB,4C,0,HR,6,-2.1,683,0
1190,9590,22.31,2GB,2楷林,30.0,391.0,0.0,0.004,0.0814,0,0,0.013,0.02,0.0,0.442,33.0,0.0113,0.003,0.018,0.016,0.0,8.6,5GG,5A,0,PO,7,0.2,514,0
1410,9040,24.92,2GC,2楷林,5.0,491.0,0.0,0.004,0.1556,0,0,0.03,0.01,0.0,0.811,37.0,0.0139,0.0026,0.021,0.02,0.001,11.1,3GB,4C,0,HR,9,1.9,523,0
1070,9130,19.1,2GA,2楷林,82.0,303.0,0.0,0.006,0.0189,0,1,0.015,0.02,0.0,0.145,17.0,0.0095,0.0038,0.025,0.024,0.0,18.3,5GG,5A,0,HR,11,-1.7,367,0
1570,9750,29.21,2GC,2楷林,5.0,256.0,7.6,0.004,0.0017,0,0,0.022,0.03,0.0,0.071,19.0,0.0091,0.0037,0.035,0.032,0.002,8.7,3GB,4C,1,CR,7,-3.5,334,0
1250,10250,24.65,2GA,2楷林,53.0,449.0,0.0,0.005,0.0604,0,1,0.022,0.02,0.0,0.774,30.0,0.0098,0.0025,0.031,0.03,0.0,4.8,5GG,5A,0,PO,7,-7.5,675,0
1110,10150,22.03,2GB,2楷林,61.0,332.0,0.0,0.005,0.0392,0,0,0.02,0.02,0.0,0.193,25.0,0.0097,0.0034,0.027,0.027,0.0,16.8,5GG,5A,0,HR,3,7.7,384,0
1030,11870,23.9,2GA,2楷林,47.0,326.0,0.0,0.004,0.0394,0,0,0.011,0.01,0.0,0.202,23.0,0.0082,0.003,0.026,0.023,0.0,14.4,5GG,5A,0,CR,8,-4.3,446,0
950,9190,17.07,2GB,2楷林,68.0,368.0,0.0,0.005,0.043,12,0,0.023,0.02,0.0,0.237,14.0,0.0093,0.0041,0.035,0.033,0.0,3.2,5GG,5A,0,HR,6,-5.5,668,0
