"SLAB번호","정정_장입LT","전저장위치코드","발지야드포인트","스카핑여부","품명","롤단위지정구분","월구분","정정_압연작업지시LT","장입온도"
"SQ57217 511",2.4,"3GB","4C",1,"GI","D",1,-3.3,194
"SQ67545 051",12.9,"3GB","4C",1,"HR",,5,1.4,206
"SQ54594 521",0.6,"3GB","4C",1,"GA","D",12,-9.2,230
"SQ78895 011",11.8,"3GB","5A",0,"GI","B",9,-2.3,282
"SQ65845 561",12.7,"3GB","5A",1,"CR",,4,2.2,155
"SP18609 541",19.9,"5GG","7A",0,"HGI","F",8,12,224
"SQ75802 021",0.9,"3GB","4C",1,"PO","F",8,-7.2,277
"SQ68572 521",3.7,"3GB","5A",1,"HR",,5,-5.3,273
"SQ57312 051",18.4,"5GG","5A",0,"HR",,1,5.1,242
"SQ74807 011",6.9,"3GB","5A",1,"HR",,7,-0.8,292
"SQ76462 021",19.3,"5GG","5A",0,"CR","F",8,10,208
"SQ69293 021",17.2,"5GG","4C",0,"CR","F",5,5,232
"SQ70116 021",17.4,"5GG","5A",0,"HR",,6,11.2,208
"SQ57589 511",14.5,"3GB","5A",0,"HGI","D",1,7.9,219
"SQ60914 541",18.2,"3GB","4C",0,"GI","F",2,11.6,290
"SQ51241 011",9.3,"3GB","5A",1,"CR",,10,1.5,261
"SQ51067 511",12.6,"3GB","4C",1,"GI","F",10,6.5,213
"SQ50174 541",12.3,"3GB","5A",1,"GI","F",10,3.9,147
"SQ64833 051",6.6,"3GB","4C",1,"FH",,4,-2.1,286
"SQ77801 021",20.8,"5GG","5A",0,"PO","F",8,8.5,229
"SQ62412 531",13.6,"3GB","5A",0,"HR",,3,3.3,280
"SQ76538 031",8.3,"3GB","4C",1,"EG","F",8,2.3,166
"SQ64290 511",18.7,"5GG","5A",0,"CR",,3,8,258
"SQ76178 561",6.1,"3GB","4C",1,"HR","F",8,-1.8,274
"SQ61437 021",4.6,"3GB","4C",1,"HR",,2,-11.3,231
"SQ78645 551",14.2,"3GB","5A",1,"HR",,9,0.7,296
"SQ70153 011",17.7,"5GG","4C",0,"CR",,6,6.3,250
"SQ52667 071",14.5,"5GG","5A",0,"HR",,11,0.4,292
"SQ60435 051",4.3,"3GB","4C",1,"HR",,2,-8.5,275
"SQ54543 541",5.6,"3GB","4C",1,"CR",,12,-2.9,208
"SQ69309 021",6.6,"3GB","4C",1,"HR",,5,-6.7,244
"SQ57270 561",14.3,"5GG","5A",0,"PO","F",1,10.1,279
"SQ68013 551",11.2,"3GB","4C",1,"GI","D",5,5.5,250
"SQ59380 011",15.9,"5GG","5A",0,"HR","D",2,10.2,198
"SQ80105 561",13.4,"5GG","5A",0,"BP",,9,0.9,257
"SQ57581 061",0.5,"3GB","5A",1,"FH","F",1,-7.8,259
"SQ71419 541",9.1,"3GB","5A",1,"HR","F",6,-0.8,219
"SQ74932 011",5.1,"3GB","4C",1,"HR",,7,-5.6,271
"SQ75668 521",9.9,"3GB","4C",1,"HR","F",8,2.6,294
"SQ68740 071",17.4,"3GB","5A",0,"BP",,5,9,272
"SQ76548 511",19.8,"5GG","4C",0,"EG","F",8,11.8,277
"SQ67023 521",11.4,"3GB","4C",1,"GI","F",4,2.8,290
"SQ70554 531",11.2,"3GB","5A",1,"CR",,6,2.5,261
"SQ69645 531",4.9,"5GG","4C",1,"CR",,5,-7.2,224
"SQ53109 041",18.2,"5GG","5A",0,"CR",,11,11.4,281
"SQ50033 531",17.9,"5GG","4C",0,"HGI","D",10,5.6,252
"SQ74426 511",14.3,"5GG","4C",0,"HGI","D",7,7,259
"SQ57572 561",13.3,"5GG","4C",0,"HGI","D",1,6.9,240
"SQ59498 031",17.7,"5GG","5A",0,"GI",,2,-0.2,1255
"SQ73740 011",9.1,"3GB","4C",1,"CR",,7,4.4,169
"SQ66933 561",11.4,"5GG","5A",0,"HR",,4,-2.7,293
"SQ63989 551",13.3,"5GG","4C",0,"HR",,3,-2.4,263
"SQ80404 551",8.4,"3GB","4C",1,"FH",,9,-0.5,268
"SQ53862 561",14.5,"5GG","4C",0,"HR",,12,2.5,234
"SQ56465 511",16.1,"3GB","5A",0,"CR",,1,2.8,297
"SQ58894 021",19.6,"5GG","4C",0,"GA",,2,15.1,164
"SQ50241 011",14.6,"3GB","4C",0,"HR","B",10,2.8,198
"SQ54135 521",17.7,"3GB","5A",0,"HGI","F",12,3.9,275
"SQ72597 551",13.2,"3GB","4C",1,"CR",,6,5.4,194
"SQ59491 511",12.2,"3GB","5A",0,"FH",,2,1.1,270
"SQ56532 511",17,"5GG","5A",0,"HR",,1,9.1,243
